CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,AvgAge,AvgIncome
20059,20,3,12675,13078,13.1,19.6,79.9,76.4,6,6.9,24.4,17.5,51,51081
20061,20,3,19166,17621,12.4,17.7,78.7,60,4.5,9.2,16.9,35.1,43,43992
20063,20,3,1385,1350,,9.7,66.5,63.3,17.8,1.9,12.4,18.7,46,46364
20065,20,3,1258,1335,11.2,17.3,73.6,62.2,14.9,2.4,-16.9,22.4,43,43826
20067,20,3,3957,3859,10.3,9.8,76.5,71.6,10,7.3,15.9,17.5,55,55432
20069,20,3,2985,3080,10,13.8,79.3,71.2,14.3,2.9,15.6,13.6,61,61000
20071,20,3,611,613,8.1,13.8,75.6,64.2,16.6,2.1,13,19.1,47,47750
20073,20,3,3120,3273,15.1,23.6,79.9,68.7,11.5,3.5,23.6,19.6,38,38838
20075,20,3,1342,1244,14.3,26.9,72.8,64.8,,2.3,12.5,16.6,45,45114
20077,20,3,2954,2907,16.4,21,82.5,70.4,10,3.7,15.3,19.1,43,43973
20079,20,3,17026,17809,13.2,20.2,80.6,81.3,5.1,4.4,17.8,13.3,51,51327
20081,20,3,2078,2052,13.8,21.9,76.6,68.5,12.1,3.9,14.5,18.7,56,56484
20083,20,3,972,967,4.6,5.2,77.1,57.6,19,2.5,16.9,21.8,54,54856
20085,20,3,6667,6733,9.1,11.1,80.3,67.8,7.5,4.4,-24.6,23.9,54,54077
20087,20,3,9610,9288,7.5,9.3,84.8,71.4,6.2,6.9,29.1,22.3,57,57236
20089,20,3,1516,1522,15.5,26.9,75.7,60.9,19.8,2.5,17.6,19,40,40553
20091,20,3,277330,289484,6.2,7.5,85.5,83.8,5.2,4.5,21,10.9,76,76113
20093,20,3,2125,1827,10.7,12.3,75.9,65.3,10,1.8,16.1,24.2,50,50506
20095,20,3,3926,3864,10.7,15.6,76.6,69.7,15.6,5.7,-21.9,14.6,50,50844
20097,20,3,1245,1291,,20.3,77,67.7,13.1,4,12.8,19.2,43,43963
20099,20,3,10378,10670,17.8,23.6,85,73.9,6.9,5.3,16.3,19,41,41439
20101,20,3,817,857,9,8.9,83.9,56.4,16.7,2.4,13.9,26.7,56,56507
20103,20,3,41806,36421,11.4,16.4,81.5,69.7,4.7,5.9,22.3,25.6,63,63726
20105,20,3,1566,1588,11,13.9,78.3,64.9,,6.5,19.4,23,44,44276
20107,20,3,4659,4869,13.2,10.6,83.2,72.5,9,8.3,33.2,18.3,46,46964
20109,20,3,1406,1387,8.4,7.4,74.1,59.8,16.9,3.9,13.4,23,46,46875
20111,20,3,16262,17200,21.5,25.2,77.6,75,5.2,7.2,17,19.8,40,40021
20113,20,3,14511,14741,7.2,9.4,81.9,77.5,9.9,3.1,14.1,12.2,56,56128
20115,20,3,6087,6203,,14.1,76.6,73.7,10.1,5,18.7,15.6,45,45927
20117,20,3,4998,5007,11.1,15.6,79.1,75.1,10.8,3,15,13.8,45,45374
20119,20,3,2258,2125,11.3,16.8,74.7,61.2,10.3,2.8,15,28.4,52,52250
20121,20,3,16097,16591,9.2,12.9,84.3,80.3,5.9,5.6,28.6,13.7,60,60966
20123,20,3,3208,3088,,15.3,85.2,73,,2.6,-9.7,15.5,48,48217
20125,20,3,16851,17333,19,26.3,81.7,77.9,6.8,8.7,16.8,15,41,41083
20127,20,3,2855,2895,8.9,11.3,77.1,66.5,13.7,3.2,21.8,19.3,47,47089
20129,20,3,1648,1458,10.8,12.9,75.4,66.3,12,5.8,16.1,21.7,46,46028
20131,20,3,5107,5052,11.4,15.1,78.5,77,9.4,1.7,15.6,13.1,48,48653
20133,20,3,8055,8368,18.6,29.7,81.3,70.9,8.4,4.7,16.6,20.5,43,43195
20135,20,3,1561,1516,11.7,23.7,76.9,60.2,17.5,2.7,10.8,22.1,44,44904
20137,20,3,3182,2408,8.5,9.3,80.6,66.1,12,1.7,-15.4,21.8,47,47852
20139,20,3,8018,8062,12.6,14.2,81.4,72.6,7.5,8.2,29.3,19.8,49,49915
20141,20,3,1874,1908,15.4,27.4,81.8,63.4,14.6,4,14.7,20.1,40,40216
20143,20,3,3134,2914,7.9,10.4,76.2,73.2,14,5.3,24,12.5,52,52479
20145,20,3,3966,2945,7.8,4.8,83.8,60.5,11.4,1.9,13.9,27.6,43,43250
