CountyId,StateId,RegionId,Male,Female,TotalPop,Poverty,CarOwnership,Unemploy,AvgCommute,AvgIncome,Obesity
13321,13,4,10208,10948,21156,21.2,86.9,9.8,27.7,37974,30.2
15001,15,1,95939,95543,191482,19.5,74.4,8.1,25.1,52108,29.6
15003,15,1,498129,486049,984178,9.7,64,5.6,28.2,74460,12.8
15005,15,1,42,43,85,15.2,34.3,0,9.2,66250,14.9
15007,15,1,34971,34720,69691,10.7,78.1,5.4,22.4,65101,12.5
15009,15,1,80790,80073,,11,71,6.9,21.3,66476,14
16001,16,1,208879,208622,417501,12.3,79.9,6.6,20,56356,13.7
16003,16,1,2049,1831,3880,12.9,,11.3,23,39565,16
16005,16,1,41666,41938,83604,18.8,77.8,7.2,17.9,43779,21.9
16007,16,1,2981,2958,5939,12.9,71.2,3.3,20,48654,21.4
16009,16,1,4581,4507,9088,16.6,76.5,10.1,23.3,39863,21.8
16011,16,1,22715,22692,45407,13.5,80.4,7.1,21.3,50155,18.8
16013,16,1,10836,10473,21309,10.4,73.4,4.1,17.7,60088,20.4
16015,16,1,3626,3259,6885,14.5,67.8,10.5,37.9,44238,19.5
16017,16,1,20563,20503,41066,15.3,77.2,6.2,24.1,42171,19.3
16019,16,1,53404,54384,,13.2,78.3,5.6,18.8,50762,16.9
16021,16,1,5596,5365,10961,15.3,76.8,4.7,21.8,38961,18.2
16023,16,1,1424,1229,2653,17.6,76.4,6.8,21.3,37891,25.9
16025,16,1,538,514,1052,21.8,76.7,5.8,26.7,42614,28
16027,16,1,98609,100312,198921,19.4,78,9.4,24,42888,26.1
16029,16,1,3429,3379,6808,8.3,75.7,1.5,16.9,58021,4.9
16031,16,1,11866,11503,23369,16,78.5,5.7,15.4,45695,21.2
16033,16,1,440,461,901,18.1,67.7,3.9,17,33672,19.9
16035,16,1,4736,3824,8560,13.1,75.6,7.3,28.6,38837,16.8
16037,16,1,2169,2065,4234,19.2,68.3,3.3,18.7,39457,18
16039,16,1,13509,12666,,16.1,79.5,8.4,17.1,43848,22.5
16041,16,1,6540,6374,12914,13.2,78.4,5,24.1,48133,18.9
16043,16,1,6677,6268,12945,10.3,,6,25.2,47988,13.8
16045,16,1,8390,8341,16731,18,74.2,14.2,27.2,40828,26.7
16047,16,1,7895,7338,15233,19.4,75.6,3.8,18.7,39930,29.2
16049,16,1,8571,7741,16312,16,68.6,6.4,17.5,38191,19.8
16051,16,1,13541,13251,26792,13.1,76.8,6.1,25.1,51171,17.7
16053,16,1,11462,11191,22653,16.4,80.8,6.6,17.8,41630,22.1
16055,16,1,71718,73328,145046,13,,7.9,20.9,49403,16.5
16057,16,1,19676,18663,38339,21.6,65.8,7.6,18.3,42439,17.1
16059,16,1,3933,3857,7790,18.7,69.8,6.1,18.6,34329,28.3
16061,16,1,1885,1927,3812,17.4,72,6.5,21.6,36505,22.1
16063,16,1,2676,2584,5260,13.6,70.9,6,31.5,43273,19.1
16065,16,1,19077,18839,37916,35.7,65.8,10.2,15.6,32233,25.3
16067,16,1,10284,9995,20279,17.4,82.9,4.8,16.5,44853,27.7
16069,16,1,19697,20082,39779,11.9,81,6.1,16.2,48160,15.4
16071,16,1,2183,2062,4245,14.6,76.8,6.7,24.2,41338,23.7
16073,16,1,5863,5501,11364,27.6,72.2,11.7,24.8,33440,38
16075,16,1,11458,11242,22700,18.7,78.2,10.1,17,44257,24.1
16077,16,1,3910,3821,7731,13.5,79.9,,18.2,44779,19.8
16079,16,1,6324,6247,12571,17.2,,11.8,18.4,37665,23.9
16081,16,1,5379,4906,,10.8,72.6,8.5,28.8,53474,15.7
16083,16,1,39568,40436,80004,15.8,80.9,5.9,17.1,44048,20.1
16085,16,1,5059,4661,9720,15,73.1,5.7,16.4,48384,14.9
16087,16,1,5082,4943,10025,18.3,71.5,9.7,23.3,34775,26.7
